Stock,Model,Variant,Delta_RMSE,ModelVariant
NIO,CNN,score_plus_topic_vader,-0.3241231432178515,CNN | score_plus_topic_vader
NIO,CNN,score_bert_plus_topic_bert,-0.3999221332163345,CNN | score_bert_plus_topic_bert
NIO,CNN-LSTM,only_score,-0.19114573765351417,CNN-LSTM | only_score
NIO,CNN-LSTM,only_score_bert,-0.06726318558739885,CNN-LSTM | only_score_bert
NIO,CNN-LSTM,score_plus_topic_vader,-0.35365626880249956,CNN-LSTM | score_plus_topic_vader
NIO,CNN-LSTM,score_bert_plus_topic_bert,-0.17320367931089686,CNN-LSTM | score_bert_plus_topic_bert
NIO,LSTM,only_score,-0.0538278932548617,LSTM | only_score
NIO,LSTM,only_score_bert,-0.0583627673323579,LSTM | only_score_bert
NIO,LSTM,score_plus_topic_vader,-0.25026157453378994,LSTM | score_plus_topic_vader
NIO,LSTM,score_bert_plus_topic_bert,-0.34999682596675696,LSTM | score_bert_plus_topic_bert
NOC,CNN,only_score,1.5385799907171105,CNN | only_score
NOC,CNN,only_score_bert,-1.356628248835225,CNN | only_score_bert
NOC,CNN,score_plus_topic_vader,4.144416534516395,CNN | score_plus_topic_vader
NOC,CNN,score_bert_plus_topic_bert,0.32173594571555064,CNN | score_bert_plus_topic_bert
NOC,CNN-LSTM,only_score,3.0757219892051904,CNN-LSTM | only_score
NOC,CNN-LSTM,only_score_bert,3.3574490210928296,CNN-LSTM | only_score_bert
NOC,CNN-LSTM,score_plus_topic_vader,3.9702962386261262,CNN-LSTM | score_plus_topic_vader
NOC,CNN-LSTM,score_bert_plus_topic_bert,3.421484332333133,CNN-LSTM | score_bert_plus_topic_bert
NOC,LSTM,only_score,0.8481830776488604,LSTM | only_score
NOC,LSTM,only_score_bert,0.9368381404850759,LSTM | only_score_bert
NOC,LSTM,score_plus_topic_vader,0.6109872641339429,LSTM | score_plus_topic_vader
NOC,LSTM,score_bert_plus_topic_bert,0.8864696053861678,LSTM | score_bert_plus_topic_bert
PG,CNN,only_score,-0.11926474698720524,CNN | only_score
PG,CNN,only_score_bert,0.27015053177104686,CNN | only_score_bert
PG,CNN,score_plus_topic_vader,-0.731134166431548,CNN | score_plus_topic_vader
PG,CNN,score_bert_plus_topic_bert,-0.6540963697736335,CNN | score_bert_plus_topic_bert
PG,CNN-LSTM,only_score,-0.5310098067685167,CNN-LSTM | only_score
PG,CNN-LSTM,only_score_bert,-0.4355755466565887,CNN-LSTM | only_score_bert
PG,CNN-LSTM,score_plus_topic_vader,-0.41966434081532156,CNN-LSTM | score_plus_topic_vader
PG,CNN-LSTM,score_bert_plus_topic_bert,-0.9290679899125804,CNN-LSTM | score_bert_plus_topic_bert
PG,LSTM,only_score,-0.4507147121650896,LSTM | only_score
PG,LSTM,only_score_bert,0.1144405659145562,LSTM | only_score_bert
