Stock,Set,Metric,CNN,CNN(Topic),CNN-LSTM,CNN-LSTM(Topic),LSTM,LSTM(Topic)
NFLX,Train Set,RMSE,14.504341408920995,15.790465901887986,,,,
NFLX,Train Set,MAE,9.169554085567077,10.440525148889702,,,,
NFLX,Train Set,R2,0.9923034969262917,0.990878057971679,,,,
NFLX,Train Set,MAPE,2.8332004791799528,3.258449588745442,,,,
NFLX,Test Set,RMSE,15.35989261072685,15.67748252357802,,,,
NFLX,Test Set,MAE,11.96206283569336,11.670054626464847,,,,
NFLX,Test Set,R2,-2.6377226065636163,-2.789709068699689,,,,
NFLX,Test Set,MAPE,5.1136824215696945,4.9647425839699295,,,,
NFLX,Train Set,RMSE,,,11.732092520170372,12.560293838181286,,
NFLX,Train Set,MAE,,,7.609704905542834,7.988208714377117,,
NFLX,Train Set,R2,,,0.9949644330096759,0.9942283894506956,,
NFLX,Train Set,MAPE,,,2.4329638226505192,2.6206996761364945,,
NFLX,Test Set,RMSE,,,11.30532844656924,10.405130312786468,,
NFLX,Test Set,MAE,,,9.291852569580081,8.550672912597658,,
NFLX,Test Set,R2,,,-0.9706957893096568,-0.669353329407969,,
NFLX,Test Set,MAPE,,,3.958051909649384,3.6985965872034683,,
NFLX,Train Set,RMSE,,,,,13.427542000734466,12.82043771265695
NFLX,Train Set,MAE,,,,,8.730793093225639,8.249171515403713
NFLX,Train Set,R2,,,,,0.9934038509814969,0.9939868349357706
NFLX,Train Set,MAPE,,,,,2.8205131582167784,2.7004071018610594
NFLX,Test Set,RMSE,,,,,9.293378825009695,8.790278597062256
NFLX,Test Set,MAE,,,,,6.672322082519534,6.354483032226563
NFLX,Test Set,R2,,,,,-0.3316819142607499,-0.19140248004326987
NFLX,Test Set,MAPE,,,,,2.854137989089214,2.74213828567025
NIO,Train Set,RMSE,0.614191042798954,0.46501008662174065,,,,
NIO,Train Set,MAE,0.4161265659802067,0.32463279028831443,,,,
NIO,Train Set,R2,0.9919824111783417,0.9954041952510152,,,,
NIO,Train Set,MAPE,1.7770694768291313,1.3519437324523305,,,,
NIO,Test Set,RMSE,1.9266295409283387,1.8493877666441065,,,,
NIO,Test Set,MAE,1.4316693305969241,1.4783574104309085,,,,
NIO,Test Set,R2,-0.06230835123302647,0.02116356490445981,,,,
NIO,Test Set,MAPE,7.487253811078998,7.723577311604964,,,,
NIO,Train Set,RMSE,,,1.0384498229482537,1.0143708457771605,,
NIO,Train Set,MAE,,,0.7927349823449042,0.7662611806333943,,
NIO,Train Set,R2,,,0.9770803566097002,0.9781309287253885,,
NIO,Train Set,MAPE,,,3.5017091501164583,3.3800760915421253,,
NIO,Test Set,RMSE,,,1.2192255721193663,1.1937795050195463,,
NIO,Test Set,MAE,,,0.9756337165832523,0.9201553344726566,,
NIO,Test Set,R2,,,0.5745757012681427,0.5921481817402088,,
NIO,Test Set,MAPE,,,5.059859125202893,4.740776731789092,,
