Stock,Model,Variant,RMSE,MAE,R2,MAPE%,n_obs,n_test
BX,CNN-LSTM,score_plus_topic_vader,4.361369262565817,3.729128265380859,0.37617692869728914,4.132944869356298,233,20
BX,LSTM,no_scores,4.3715835804139225,3.746253967285157,0.3732515223547699,4.206574898337136,233,20
BX,LSTM,only_score,4.338589852107983,3.7052574157714853,0.3826763607426761,4.1700179339762045,233,20
BX,LSTM,only_score_bert,3.509697716501333,3.044789505004882,0.5960243933313514,3.405561199999877,233,20
BX,LSTM,score_bert_plus_topic_bert,3.7121621643319367,3.2408905029296884,0.5480716401606709,3.636041049101816,233,20
BX,LSTM,score_plus_topic_vader,4.3049808280182225,3.6774040222167974,0.3922035502774084,4.151605336282041,233,20
COST,CNN,no_scores,13.664928326203727,11.065153503417964,0.5669023609330165,2.200805483294522,233,20
COST,CNN,only_score,13.754885991314147,11.6149917602539,0.5611813367422178,2.3038091154659845,233,20
COST,CNN,only_score_bert,14.958575937925929,12.530784606933588,0.4810188297086294,2.4836734998271606,233,20
COST,CNN,score_bert_plus_topic_bert,16.129545606614062,13.259820556640625,0.3965860228526431,2.596081249342249,233,20
COST,CNN,score_plus_topic_vader,17.17310539101944,13.192333984375,0.31598004692366155,2.5791985471761767,233,20
COST,CNN-LSTM,no_scores,11.814042474994583,9.76414947509765,0.6762810255082172,1.949048013156439,233,20
COST,CNN-LSTM,only_score,11.729686353920208,10.092199707031245,0.6808874393074573,2.0065497310496982,233,20
COST,CNN-LSTM,only_score_bert,12.197833594933108,10.454690551757807,0.6549067149508749,2.066489141287739,233,20
COST,CNN-LSTM,score_bert_plus_topic_bert,12.846914585900958,10.932078552246088,0.6172027815269304,2.1551033539998823,233,20
COST,CNN-LSTM,score_plus_topic_vader,12.364834734872703,10.583360290527338,0.6453926507076286,2.109036841900836,233,20
COST,LSTM,no_scores,11.38841662700473,9.626023864746088,0.6991861739356329,1.9128887931226697,233,20
COST,LSTM,only_score,11.335435086203903,9.353820800781245,0.701978573945369,1.83932079069078,233,20
COST,LSTM,only_score_bert,11.681862053766057,10.000468444824213,0.683484307229369,1.9843201047808414,233,20
COST,LSTM,score_bert_plus_topic_bert,12.008674503642998,9.887976074218745,0.66552686038327,1.9748905291011205,233,20
