Stock,Modèle,AvecTopic,RMSE,MAE,R2,MAPE%
KO,CNN-LSTM,True,1.3021637360301883,1.1168436050415078,0.407110050881608,1.9055858616172348
KO,LSTM,False,0.7978814031491762,0.6272130966186527,0.7774028597479283,1.0584436260588157
KO,LSTM,True,0.7630196690971158,0.5804943084716807,0.7964297257442368,0.9824934878514822
META,CNN,False,18.280287724161624,15.444223785400391,-1.8797034556784156,10.728474588578354
META,CNN,True,17.603843619450643,15.099195861816407,-1.6705254263205953,10.443584816241017
META,CNN-LSTM,False,6.339154549150537,5.7399147033691404,0.6537064572068285,3.8781568265098723
META,CNN-LSTM,True,15.317576798287085,13.423725128173828,-1.0219101215308082,9.281093415393904
META,LSTM,False,10.890615505843936,8.775714111328124,-0.022083940377566558,6.121809999444419
META,LSTM,True,12.104185452169363,10.292516326904297,-0.2625623997048643,7.148964720415216
MSFT,CNN,False,14.391135228544412,12.805078887939459,-1.308653917092403,5.250281783575025
MSFT,CNN,True,13.503107274303712,11.841126251220707,-1.0325262426925872,4.869397421780512
MSFT,CNN-LSTM,False,20.30290676711676,16.944345855712893,-3.5949963047947735,6.993845188851687
MSFT,CNN-LSTM,True,13.65317511611827,11.98359756469727,-1.0779545629533125,4.930052307597312
MSFT,LSTM,False,14.628810531526046,12.302069091796879,-1.3855402908464485,5.071682907433617
MSFT,LSTM,True,10.235131339624933,8.585899353027347,-0.16776529937799278,3.533617346216491
NFLX,CNN,False,15.35989261072685,11.96206283569336,-2.6377226065636163,5.1136824215696945
NFLX,CNN,True,15.67748252357802,11.670054626464847,-2.789709068699689,4.9647425839699295
NFLX,CNN-LSTM,False,11.30532844656924,9.291852569580081,-0.9706957893096568,3.958051909649384
NFLX,CNN-LSTM,True,10.405130312786468,8.550672912597658,-0.669353329407969,3.6985965872034683
NFLX,LSTM,False,9.293378825009695,6.672322082519534,-0.3316819142607499,2.854137989089214
NFLX,LSTM,True,8.790278597062256,6.354483032226563,-0.19140248004326987,2.74213828567025
NIO,CNN,False,1.9266295409283387,1.4316693305969241,-0.06230835123302647,7.487253811078998
NIO,CNN,True,1.8493877666441065,1.4783574104309085,0.02116356490445981,7.723577311604964
